341,612853,16.54409939
578,433013,11.68927966
344,386961,10.44609595
109,311974,8.421805656
351,308793,8.335933873
235,207313,5.596459307
361,196447,5.303129285
105,140670,3.797417098
106,139382,3.762647259
107,134921,3.642221598
126,84904,2.292001857
359,78467,2.118233649
110,66157,1.785922535
236,54264,1.464868425
121,53386,1.441166625
347,52380,1.414009438
352,46284,1.249446598
348,44473,1.200558261
117,40812,1.101728774
112,40314,1.088285156
118,38187,1.03086633
113,33278,0.898346813
233,32283,0.871486573
340,24830,0.670291224
232,15414,0.416104266
358,12877,0.347617402
360,11378,0.307151573
343,10895,0.294112883
353,10456,0.282261983
104,10091,0.272408729
114,9705,0.261988576
355,9175,0.247681111
116,8182,0.220874861
365,7374,0.199062726
678,6470,0.17465905
111,6257,0.168909069
364,4122,0.111274282
101,3178,0.085790798
125,2801,0.075613601
231,2016,0.054422356
238,1937,0.052289734
124,1507,0.040681791
350,1426,0.038495179
345,1170,0.031584403
675,1038,0.028021035
572,795,0.021461197
363,664,0.017924824
346,560,0.015117321
342,547,0.014766383
356,483,0.01303869
120,254,0.006856785
230,247,0.006667818
677,160,0.004319235
571,108,0.002915483
237,103,0.002780507
234,88,0.002375579
115,80,0.002159617
102,78,0.002105627
354,60,0.001619713
122,49,0.001322766
455,47,0.001268775
119,44,0.00118779
349,34,0.000917837
366,33,0.000890842
103,24,0.000647885
676,20,0.000539904
460,14,0.000377933
672,14,0.000377933
685,12,0.000323943
881,12,0.000323943
357,7,0.000188967
362,3,8.09856E-05
577,3,8.09856E-05
123,2,5.39904E-05